event_id,team_code,team_name,player1_name,player2_name,player3_name,player4_name,player5_name,player6_name,player7_name,player8_name,player9_name,player10_name
7,GER,Germany,KAPP B,MESSENZEHL F,MUSKATEWITZ M,SCHEUERL J,,,,,,
7,ITA,Italy,ARMAN S,GIOVANELLA M,MOSANER A,PIMPINI A,RETORNAZ J,,,,,
7,NOR,Norway,NAESS W,NEPSTAD G,RAMSFJELL B,RAMSFJELL M,SESAKER M,,,,,
7,POL,Poland,CIEMINSKI M,DOMIN K,GRZELKA M,LOBAZA B,STYCH K,,,,,
7,SCO,Scotland,HARDIE G,LAMMIE B,MOUAT B,McMILLAN H,WADDELL K,,,,,
7,SUI,Switzerland,LACHAT-COUCHEPIN P,MICHEL S,SCHWALLER K,SCHWALLER Y,SCHWARZ-VAN BERKEL,,,,,
7,SWE,Sweden,EDIN N,ERIKSSON O,SUNDGREN C,WRANAA R,,,,,,
8,CZE,Czechia,BAUDYSOVA M,KUBESKOVA A,MUELLERNOVA A,PARIZKOVA K,,,,,,
8,DEN,Denmark,DUPONT D,DUPONT M,HALSE M,HOLTERMANN J,,,,,,
8,GER,Germany,ABBES E,ANTES Z,MESSENZEHL S,SUTOR J,SUTOR K,,,,,
8,ITA,Italy,CONSTANTINI S,MATHIS E,ROMEI A,ZARDINI LACEDELLI,,,,,,
8,LTU,Lithuania,BLAZIENE R,DVOJEGLAZOVA O,KIUDYTE M,PAULAUSKAITE V,,,,,,
8,NOR,Norway,FORBREGD I,HASLEV NORDBYE M,KJAERLAND E,ROERVIK M,SKASLIEN K,,,,,
8,SCO,Scotland,DODDS J,JACKSON S,MORRISON R,SINCLAIR S,,,,,,
8,SUI,Switzerland,BERSET S,HUERLIMANN C,LOERTSCHER M,SCHWIZGEBEL C,,,,,,
8,SWE,Sweden,HASSELBORG A,HELDIN J,KNOCHENHAUER A,McMANUS S,SCHARBACK S,,,,,
8,TUR,Türkiye,KARAMAN I,POLAT O,SENGUL B,YILDIZ D,,,,,,
11,AUS,Australia,DAVIS G,DAVIS T,JOHNS S,MILLIKIN H,PANOUSSI M,,,,,
11,CAN,Canada,GALLANT B,HEBERT B,JACOBS B,KENNEDY M,TARDI T,,,,,
11,CHN,China,FEI X,LI Z,XU J,XU X,,,,,,
11,JPN,Japan,KOIZUMI S,YAMAGUCHI T,YAMAMOTO T,YANAGISAWA R,,,,,,
11,KOR,Korea,JEON JI,KIM C,KIM HK,KIM SH,YOO M,,,,,
11,NZL,New Zealand,BECKER J,BECKER S,DOBSON W,PALANUIK J,,,,,,
11,PHI,Philippines,CARPENTER B,FREI A,HALLER C,PFISTER E,PFISTER M,,,,,
11,USA,United States,CASPER D,HAMILTON M,HUFMAN C,PLYS C,SHUSTER J,,,,,
12,AUS,Australia,ARMSTRONG M,TITHERIDGE K,TSOURLENES K,WESTMAN S,WILLIAMS H,,,,,
12,CAN,Canada,BROWN R,FLEURY T,HOMAN R,MISKEW E,WILKES S,,,,,
12,CHN,China,DONG Z,HAN Y,JIANG J,SU T,WANG R,,,,,
12,JPN,Japan,FUJISAWA S,MATSUZAWA Y,SUZUKI Y,YOSHIDA C,YOSHIDA Y,,,,,
12,KOR,Korea,GIM E,KIM M,KIM S,SEOL Yee,SEOL Yej,,,,,
12,MEX,Mexico,CAMARENA A,HUERTA V,KNEPPER K,MARTINEZ K,QUINTERO E,,,,,
12,NZL,New Zealand,BECKER B,KINNEY R,PITTS R,THOMPSON H,,,,,,
12,USA,United States,ANDERSON-HEIDE T,PETERSON Tab,PETERSON Tar,THIESSE C,,,,,,
20,AUS,Australia,,,,,,,,,,
20,CAN,Canada,,,,,,,,,,
20,CHN,China,,,,,,,,,,
20,CZE,Czechia,,,,,,,,,,
20,DEN,Denmark,,,,,,,,,,
20,ESP,Spain,,,,,,,,,,
20,EST,Estonia,,,,,,,,,,
20,FIN,Finland,,,,,,,,,,
20,GER,Germany,,,,,,,,,,
20,ITA,Italy,,,,,,,,,,
20,JPN,Japan,,,,,,,,,,
20,KOR,Korea,,,,,,,,,,
20,NED,Netherlands,,,,,,,,,,
20,NOR,Norway,,,,,,,,,,
20,NZL,New Zealand,,,,,,,,,,
20,SCO,Scotland,,,,,,,,,,
20,SUI,Switzerland,,,,,,,,,,
20,SWE,Sweden,,,,,,,,,,
20,TUR,Türkiye,,,,,,,,,,
20,USA,United States,,,,,,,,,,
23,CAN,Canada,CINNAMON M,KEENAN M,MACAULAY K,WIPF K,,,,,,
23,DEN,Denmark,GOLDBECK L,JENSEN N,JURLANDER BOEGE K,QVIST A,SCHMIDT J,,,,,
23,GER,Germany,AMBERGER R,ANGRICK L,ENDERS A,FUSS D,JAEGER L,,,,,
23,ITA,Italy,GILLI A,GILLI S,SPILLER C,SPILLER S,VIGLIANI F,,,,,
23,JPN,Japan,KIMURA Y,KOBAYASHI S,MICHITANI H,NAKAHARA T,TAKEMURA R,,,,,
23,KOR,Korea,KIM D,KWON J,LEE W,PARK S,SHIN E,,,,,
23,NOR,Norway,ERIKSEN E,HASLEV NORDBYE T,HOESTMAELINGEN L,LILLEBOE M,,,,,,
23,SCO,Scotland,CARSON L,CARSON O,GIBB C,HYSLOP A,MACDONALD J,,,,,
23,SUI,Switzerland,BIEHLE T,ERNST L,FEIERABEND J,LUETHOLD F,WITTICH L,,,,,
23,USA,United States,BASSIRI S,CENZALLI N,LAUFER D,WENDLING W,,,,,,
24,CAN,Canada,FITZGERALD M,MACNUTT A,McCUSKER G,UMLAH A,,,,,,
24,CHN,China,CHEN Z,GAO Y,LI Z,TIAN D,WANG J,,,,,
24,GER,Germany,ABDEL HALIM A,MESSENZEHL S,SUTOR J,SUTOR K,,,,,,
24,ITA,Italy,CARLISANO LG,GRANDE L,MARIANI R,SCALESSE R,ZAMBELLI G,,,,,
24,JPN,Japan,IKEDA H,MATSUNAGA A,MIURA Y,SAKUMA Y,TSURUGA K,,,,,
24,KOR,Korea,KANG B,KIM J,KIM M,SHIM Y,,,,,,
24,LAT,Latvia,APSE V,BARONE E,IEVINA R,SELIVERSTOVA M,,,,,,
24,NOR,Norway,BJOERNSTAD T,KJAERLAND E,OESTGAARD N,ROENNING AV,,,,,,
24,SUI,Switzerland,CACCIVIO E,FLUECKIGER L,GERMANN L,OBERSON A,,,,,,
24,SWE,Sweden,DRYBURGH M,OREFJORD T,ROXIN M,TJAERNLUND M,,,,,,
25,AUT,Austria,BACKOFEN J,GENNER M,HOFER M,MAVEC F,REICHEL M,,,,,
25,CAN,Canada,GALLANT B,HEBERT B,JACOBS B,KENNEDY M,TARDI T,,,,,
25,CHN,China,FEI X,LI Z,WANG Z,XU X,,,,,,
25,CZE,Czechia,BOHAC R,CERNOVSKY M,JURIK M,KLIMA L,KLIPA L,,,,,
25,GER,Germany,KAPP B,MESSENZEHL F,MUSKATEWITZ M,SCHEUERL J,,,,,,
25,ITA,Italy,ARMAN S,GIOVANELLA M,MOSANER A,RETORNAZ J,,,,,,
25,JPN,Japan,KOIZUMI S,USUI S,YAMAGUCHI T,YANAGISAWA R,,,,,,
25,KOR,Korea,KIM C,KIM E,KIM H,KIM J,PYO J,,,,,
25,NOR,Norway,NEPSTAD G,RAMSFJELL B,RAMSFJELL M,SESAKER M,,,,,,
25,SCO,Scotland,HARDIE G,LAMMIE B,MOUAT B,McMILLAN H,,,,,,
25,SUI,Switzerland,LACHAT-COUCHEPIN P,MICHEL S,SCHWALLER K,SCHWALLER Y,SCHWARZ-VAN BERKEL,,,,,
25,SWE,Sweden,EDIN N,ERIKSSON O,SUNDGREN C,WRANAA R,,,,,,
25,USA,United States,DROPKIN K,FENNER M,HOWELL T,STOPERA A,,,,,,
26,CAN,Canada,FLEURY T,HOMAN R,MISKEW E,WILKES S,,,,,,
26,CHN,China,DONG Z,HAN Y,JIANG J,SU T,WANG R,,,,,
26,DEN,Denmark,DUPONT D,DUPONT M,HALSE M,HOLTERMANN J,LARSEN M,,,,,
26,ITA,Italy,CONSTANTINI S,LO DESERTO M,MATHIS E,ROMEI A,ZARDINI LACEDELLI,,,,,
26,JPN,Japan,KOBAYASHI M,KOTANI Y,OHMIYA A,ONODERA K,YOSHIMURA S,,,,,
26,KOR,Korea,GIM E,KIM M,KIM S,SEOL Y,,,,,,
26,LTU,Lithuania,BLAZIENE R,DVOJEGLAZOVA O,KIUDYTE M,PAULAUSKAITE V,,,,,,
26,NOR,Norway,FORBREGD I,HASLEV NORDBYE M,KJAERLAND E,ROERVIK M,SKASLIEN K,,,,,
26,SCO,Scotland,DODDS J,HENDERSON F,JACKSON S,MORRISON R,SINCLAIR S,,,,,
26,SUI,Switzerland,BERSET S,HOWALD C,PAETZ A,TIRINZONI S,WITSCHONKE S,,,,,
26,SWE,Sweden,HASSELBORG A,HELDIN J,KNOCHENHAUER A,MABERGS S,McMANUS S,,,,,
26,TUR,Türkiye,CALIKUSU IS,KARAMAN I,POLAT O,SENGUL B,YILDIZ D,,,,,
26,USA,United States,ANDERSON-HEIDE T,PERSINGER V,PETERSON Tab,PETERSON Tar,THIESSE C,,,,,
29,CHN,China,DONG Z,FEI X,HAN Y,JIANG J,LI Z,SU T,WANG R,WANG Z,XU X,YE J
29,HKG,"Hong Kong, China",CHAN K,CHANG J,CHENG CN,CHUNG CH,HU P,HUNG LY,SHANG WIA,YAN HTM,,
29,JPN,Japan,AOKI R,HEMMI A,IKEDA H,MATSUNAGA A,MIURA Y,MIYA O,SAKUMA Y,WATANABE H,YASUI S,
29,KAZ,Kazakhstan,ALLIYAR A,ALLIYAROVA T,EBAUYER A,EBAUYER R,IRJANOV A,KOLYKHALOVA Y,MUSSAINOV Y,TASTEMIR M,ZHUMAGOZHA A,ZHUZBAY A
29,KGZ,Kyrgyzstan,ABYKEEV I,ASANALIEV A,DASIFU M,MYRZABAEV B,,,,,,
29,KOR,Republic of Korea,GIM E,KIM E,KIM H,KIM J,KIM M,KIM S,LEE J,PYO J,SEOL Y,
29,KSA,Saudi Arabia,ALAQEL S,ALBEELBISI M,ALDARAAN M,ALZAHRANI A,HAGAWI H,,,,,
29,KUW,Kuwait,,,,,,,,,,
29,MGL,Mongolia,,,,,,,,,,
29,PHI,Philippines,AN LS,BONACHE A,DUBBERSTEIN KS,FREI A,HALLER C,MARIANO SI,PFISTER E,PFISTER M,de la FUENTE J,
29,QAT,Qatar,AL-FAHAD AA,AL-FAHAD AS,AL-FAHAD FA,AL-FAHAD HH,AL-QAET AH,AL-QAET SH,ALNAIMI MH,ALYAFEI AQ,ALYAFEI NA,
29,THA,Thailand,BOONYAPORN N,JAOSAP P,KAEWJEEN P,KAEWMORAKOT S,KUMPEERAKIT N,MAHATTANASAKUL P,MANEENET A,NATCHANARONG K,PUNYANERAMITDEE W,RIWIN T
29,TPE,Chinese Taipei,CHANG CC,CHANG CL,HOU YL,LEE YC,LIN CH,LIN TL,LIU IL,YANG K,,
34,AUT,Austria,BACKOFEN J,GENNER M,KARG J,MAVEC F,REICHEL M,,,,,
34,CZE,Czechia,CERNOVSKY M,JURIK M,KLIMA L,KLIPA L,,,,,,
34,ENG,England,GIBSON S,HAVERCROFT J,MOUAT C,RETCHLESS R,SUGDEN J,,,,,
34,GER,Germany,KAPP B,MESSENZEHL F,MUSKATEWITZ M,SCHEUERL J,,,,,,
34,ITA,Italy,ARMAN S,GIOVANELLA M,MOSANER A,RETORNAZ J,,,,,,
34,NED,Netherlands,GOESGENS W,HOEKMAN L,MAGAN A,VAN DEN HURK T,,,,,,
34,NOR,Norway,NAESS W,NEPSTAD G,RAMSFJELL B,RAMSFJELL M,SESAKER M,,,,,
34,SCO,Scotland,HARDIE G,LAMMIE B,MOUAT B,McMILLAN H,WADDELL K,,,,,
34,SUI,Switzerland,LACHAT-COUCHEPIN P,MICHEL S,SCHWALLER Y,SCHWARZ-VAN BERKEL,WINKELHAUSEN T,,,,,
34,SWE,Sweden,EDIN N,ERIKSSON O,MAGNUSSON D,SUNDGREN C,WRANAA R,,,,,
35,DEN,Denmark,DUPONT D,DUPONT M,HALSE M,HOLTERMANN J,LARSEN M,,,,,
35,EST,Estonia,GROSSMANN H,LAIDSALU K,TURMANN L,TUVIKE E,,,,,,
35,HUN,Hungary,JOO L,KALOCSAI-VAN DORP,LAUCHSZ LI,ORBAN HR,TOTH-CSOESZ O,,,,,
35,ITA,Italy,CONSTANTINI S,LO DESERTO M,MATHIS E,ROMEI A,ZARDINI LACEDELLI,,,,,
35,LTU,Lithuania,BLAZIENE R,DVOJEGLAZOVA O,KIUDYTE M,PAULAUSKAITE V,,,,,,
35,NOR,Norway,HASLEV NORDBYE M,KJAERLAND E,ROERVIK M,SKASLIEN K,,,,,,
35,SCO,Scotland,DODDS J,JACKSON S,MORRISON R,SINCLAIR S,,,,,,
35,SUI,Switzerland,BERSET S,HOWALD C,PAETZ A,TIRINZONI S,WITSCHONKE S,,,,,
35,SWE,Sweden,HASSELBORG A,KNOCHENHAUER A,MABERGS S,McMANUS S,,,,,,
35,TUR,Türkiye,CALIKUSU IS,KARAMAN I,POLAT O,SENGUL B,YILDIZ D,,,,,
39,AUS,Australia,DAVIS T,HEWITT D,HEWITT S,JOHNS S,MILLIKIN H,,,,,
39,CAN,Canada,BOTTCHER B,CASEY A,GUSHUE B,NICHOLS M,WALKER G,,,,,
39,CHN,China,FEI X,LI Z,WANG Z,XU X,YE J,,,,,
39,JPN,Japan,ABE S,SATO H,SHIMIZU T,TSURUGA S,,,,,,
39,KOR,Korea,KIM E,KIM H,KIM J,LEE J,PYO J,,,,,
39,NZL,New Zealand,HOOD A,PALANUIK J,SARGON B,SMITH B,WALKER H,,,,,
39,TPE,Chinese Taipei,HSU K,HSU N,LEE V,STEVENS E,YIN LIU L,,,,,
39,USA,United States,HAMILTON M,HUFMAN C,PLYS C,SHUSTER J,,,,,,
40,CAN,Canada,BROWN R,FLEURY T,HOMAN R,MISKEW E,WILKES S,,,,,
40,CHN,China,DONG Z,HAN Y,JIANG J,SU T,WANG R,,,,,
40,JPN,Japan,KANAI A,NISHIMURO J,ONODERA K,UENO M,UENO Y,,,,,
40,KOR,Korea,GIM E,KIM M,KIM S,SEOL Y,,,,,,
40,MEX,Mexico,CAMARENA A,HUERTA V,KNEPPER K,MARTINEZ K,QUINTERO E,,,,,
40,NZL,New Zealand,APUWAI-BISHOP G,HEALD E,SUDDENS C,TRAN S,WEBER A,,,,,
40,TPE,Chinese Taipei,CHANG CC,LEE MC,LEE S,LIU I L,YANG K,,,,,
40,USA,United States,ANDERSON-HEIDE T,GEVING A,PERSINGER V,PETERSON T,THIESSE C,,,,,
46,AUS,Australia,,,,,,,,,,
46,CAN,Canada,,,,,,,,,,
46,CHN,China,,,,,,,,,,
46,CZE,Czechia,,,,,,,,,,
46,DEN,Denmark,,,,,,,,,,
46,ESP,Spain,,,,,,,,,,
46,EST,Estonia,,,,,,,,,,
46,FRA,France,,,,,,,,,,
46,GER,Germany,,,,,,,,,,
46,ITA,Italy,,,,,,,,,,
46,JPN,Japan,,,,,,,,,,
46,KOR,Korea,,,,,,,,,,
46,NED,Netherlands,,,,,,,,,,
46,NOR,Norway,,,,,,,,,,
46,NZL,New Zealand,,,,,,,,,,
46,SCO,Scotland,,,,,,,,,,
46,SUI,Switzerland,,,,,,,,,,
46,SWE,Sweden,,,,,,,,,,
46,TUR,Türkiye,,,,,,,,,,
46,USA,United States,,,,,,,,,,
49,CAN,Canada,DOERING K,GUSHUE B,HARNDEN E,HARNDEN EJ,NICHOLS M,WALKER G,,,,
49,CZE,Czechia,BOHAC R,CERNOVSKY M,JURIK M,KLIMA L,KLIPA L,,,,,
49,GER,Germany,KAPP B,MESSENZEHL F,MUSKATEWITZ M,SCHEUERL J,,,,,,
49,ITA,Italy,ARMAN S,GIOVANELLA M,MOSANER A,RETORNAZ J,,,,,,
49,JPN,Japan,ABE S,NAKAHARA A,OUCHI H,SHIMIZU T,TSURUGA S,,,,,
49,KOR,Korea,JEONG Y,LEE K,OH S,PARK J,SEONG J,,,,,
49,NED,Netherlands,GOESGENS W,HOEKMAN L,MAGAN A,VAN DEN HURK T,VAN DORP J,,,,,
49,NOR,Norway,NAESS W,NEPSTAD G,RAMSFJELL B,RAMSFJELL M,SESAKER M,,,,,
49,NZL,New Zealand,HOOD A,SARGON B,SMITH B,WALKER H,,,,,,
49,SCO,Scotland,HARDIE G,LAMMIE B,MOUAT B,McMILLAN H,,,,,,
49,SUI,Switzerland,LACHAT-COUCHEPIN P,MICHEL S,SCHWALLER Y,SCHWARZ-VAN BERKEL,WINKELHAUSEN T,,,,,
49,SWE,Sweden,EDIN N,ERIKSSON O,MAGNUSSON D,SUNDGREN C,WRANAA R,,,,,
49,USA,United States,HAMILTON M,HUFMAN C,LANDSTEINER J,PLYS C,SHUSTER J,,,,,
50,CAN,Canada,BROWN R,FLEURY T,HOMAN R,MISKEW E,WILKES S,,,,,
50,DEN,Denmark,DUPONT D,DUPONT M,HALSE M,LANDER J,LARSEN M,,,,,
50,EST,Estonia,GROSSMANN H,LAIDSALU K,TURMANN L,TUVIKE E,,,,,,
50,ITA,Italy,CONSTANTINI S,LO DESERTO M,MATHIS E,ROMEI A,ZARDINI LACEDELLI,,,,,
50,JPN,Japan,KANAI A,NISHIMURO J,RYOKAWA M,UENO M,UENO Y,,,,,
50,KOR,Korea,GIM E,KIM M,KIM S,SEOL Y,,,,,,
50,NOR,Norway,FORBREGD I,HASLEV NORDBYE M,ROENNING M,ROERVIK M,SKASLIEN K,,,,,
50,NZL,New Zealand,BECKER B,SMITH C,SMITH J,THOMPSON H,THURLOW N,,,,,
50,SCO,Scotland,DODDS J,JACKSON S,MORRISON R,SINCLAIR S,,,,,,
50,SUI,Switzerland,BERSET S,HOWALD C,PAETZ A,TIRINZONI S,WITSCHONKE S,,,,,
50,SWE,Sweden,HASSELBORG A,KNOCHENHAUER A,MABERGS S,McMANUS S,,,,,,
50,TUR,Türkiye,CALIKUSU IS,KARAMAN I,POLAT O,SENGUL B,YILDIZ D,,,,,
50,USA,United States,HAMILTON B,PERSINGER V,PETERSON Tab,PETERSON Tar,THIESSE C,,,,,
53,CAN,Canada,DAVIES Z,NAUGLER A,NEUERT J,TAO J,,,,,,
53,CHN,China,HE B,SHI G,TAO L,XU X,,,,,,
53,GER,Germany,KAPP B,MESSENZEHL F,SCHEUERL J,TREVISIOL M,,,,,,
53,ITA,Italy,CAVALLERO A,DE ZANNA F,GILLI A,GILLI S,VIGLIANI F,,,,,
53,NOR,Norway,ERIKSEN E,HASLEV NORDBYE T,HOESTMAELINGEN L,LILLEBOE M,,,,,,
53,SCO,Scotland,CARSON L,CARSON O,GIBB C,HYSLOP A,,,,,,
53,SUI,Switzerland,HANHART S,JERMANN M,JERMANN Y,SCHWALLER K,,,,,,
53,USA,United States,ARMSTRONG J,BESTLAND J,HEBERT C,TUMA K,WENDLING W,,,,,
54,CAN,Canada,FEDIUK C,ISKIW A,NEDOHIN A,PLETT M,,,,,,
54,CHN,China,GAO Y,HAN Z,SUN J,WEN X,,,,,,
54,GER,Germany,ANTES Z,MESSENZEHL S,SUTOR J,SUTOR K,,,,,,
54,JPN,Japan,MIURA Y,NAKAJIMA M,NIHIRA M,TABATA M,UENO Y,,,,,
54,KOR,Korea,BANG Y,KIM H,KIM Y,PARK H,,,,,,
54,NOR,Norway,BJOERNSTAD T,FORBREGD I,KJAERLAND E,OESTGAARD N,,,,,,
54,SCO,Scotland,MITCHELL A,MUNRO R,WATT L,WILKIE-MILNE H,,,,,,
54,SUI,Switzerland,GAFNER S,RIEDER F,RYCHIGER S,SCHWALLER X,,,,,,
54,SWE,Sweden,DRYBURGH M,NILSSON M,OREFJORD T,TJAERNLUND M,,,,,,
59,CZE,Czechia,CERNOVSKY M,JURIK M,KLIMA L,KLIPA L,,,,,,
59,FIN,Finland,KIISKINEN K,KUOSMANEN P,OUNI L,SALO T,,,,,,
59,GER,Germany,HAAG JL,SUTOR J,SUTOR M,TOTZEK S,,,,,,
59,ITA,Italy,ARMAN S,GIOVANELLA M,MOSANER A,PIMPINI A,RETORNAZ J,,,,,
59,NED,Netherlands,GOESGENS W,HOEKMAN L,MAGAN A,VAN DEN HURK T,VAN DORP J,,,,,
59,NOR,Norway,NEPSTAD G,RAMSFJELL B,RAMSFJELL M,SESAKER M,,,,,,
59,SCO,Scotland,HARDIE G,LAMMIE B,MOUAT B,McMILLAN H,,,,,,
59,SUI,Switzerland,LACHAT P,MICHEL S,SCHWALLER Y,SCHWARZ-VAN BERKEL,,,,,,
59,SWE,Sweden,EDIN N,ERIKSSON O,MAGNUSSON D,SUNDGREN C,WRANAA R,,,,,
59,TUR,Türkiye,DEMIREL MH,KARAGOZ U,KAVAZ F,UCAN MZ,YUCE O,,,,,
60,CZE,Czechia,BAUDYSOVA M,KUBESKOVA A,MUELLERNOVA A,SVATONOVA K,,,,,,
60,DEN,Denmark,DUPONT D,DUPONT M,HALSE M,LANDER J,LARSEN M,,,,,
60,EST,Estonia,GROSSMANN H,KALDVEE M,LAIDSALU K,TURMANN L,TUVIKE E,,,,,
60,GER,Germany,ABBES E,BEER M,HOEHNE M,KAPP L,SCHOELL PL,,,,,
60,ITA,Italy,CONSTANTINI S,MATHIS E,ROMEI A,ZARDINI LACEDELLI,,,,,,
60,NOR,Norway,HASLEV NORDBYE M,ROENNING M,ROERVIK M,SKASLIEN K,,,,,,
60,SCO,Scotland,AITKEN G,DODDS J,JACKSON S,MORRISON R,SINCLAIR S,,,,,
60,SUI,Switzerland,BERSET S,HOWALD C,PAETZ A,TIRINZONI S,WITSCHONKE S,,,,,
60,SWE,Sweden,DE VAL A,LARSSON M,STENLUND L,WAAHLIN J,WRANAA I,,,,,
60,TUR,Türkiye,CALIKUSU IS,POLAT O,SENGUL B,YILDIZ D,,,,,,
64,AUS,Australia,BENCE T,DAVIS T,GRUNDY J,HEWITT D,MERCHANT J,,,,,
64,CAN,Canada,COTTER J,GUSHUE B,HARNDEN E,NICHOLS M,WALKER G,,,,,
64,GUY,Guyana,GOBERDHAN K,HUSAIN R,NARAIN D,PERSAUD B,,,,,,
64,JPN,Japan,KOIZUMI S,YAMAGUCHI T,YAMAMOTO T,YANAGISAWA R,,,,,,
64,KOR,Korea,JEONG Y,LEE K,OH S,PARK J,SEONG J,,,,,
64,NZL,New Zealand,HOOD A,SARGON B,SMITH B,WALKER H,,,,,,
64,TPE,Chinese Taipei,HSU N,LIN TL,LIU B,SHEN R,WANG N,,,,,
64,USA,United States,DROPKIN K,FENNER M,HOWELL T,STOPERA A,,,,,,
65,AUS,Australia,MILLIKIN C,TSOURLENES K,WESTHAGEN J,WESTMAN S,WILLIAMS H,,,,,
65,CAN,Canada,BIRCHARD S,EINARSON K,HARRIS B,McEWEN D,SWEETING V,,,,,
65,JPN,Japan,FUJISAWA S,SUZUKI Y,YOSHIDA C,YOSHIDA Y,,,,,,
65,KOR,Korea,GIM E,KIM M,KIM S,SEOL Yee,SEOL Yej,,,,,
65,MEX,Mexico,CAMARENA A,HUERTA V,MARTINEZ K,QUINTERO E,,,,,,
65,NZL,New Zealand,BECKER B,SMITH C,SMITH J,THOMPSON H,THURLOW N,,,,,
65,TPE,Chinese Taipei,CHOU A,HUANG SYN,LIN H,LU C,YING J,,,,,
65,USA,United States,HAMILTON B,PERSINGER V,PETERSON Tab,PETERSON Tar,THIESSE C,,,,,
71,AUS,Australia,,,,,,,,,,
71,AUT,Austria,,,,,,,,,,
71,CAN,Canada,,,,,,,,,,
71,CZE,Czech Republic,,,,,,,,,,
71,DEN,Denmark,,,,,,,,,,
71,ENG,England,,,,,,,,,,
71,ESP,Spain,,,,,,,,,,
71,EST,Estonia,,,,,,,,,,
71,GER,Germany,,,,,,,,,,
71,HUN,Hungary,,,,,,,,,,
71,ITA,Italy,,,,,,,,,,
71,JPN,Japan,,,,,,,,,,
71,KOR,Korea,,,,,,,,,,
71,NED,Netherlands,,,,,,,,,,
71,NOR,Norway,,,,,,,,,,
71,SCO,Scotland,,,,,,,,,,
71,SUI,Switzerland,,,,,,,,,,
71,SWE,Sweden,,,,,,,,,,
71,TUR,Türkiye,,,,,,,,,,
71,USA,United States,,,,,,,,,,
74,CAN,Canada,GUSHUE B,HARNDEN E,HARNDEN R,NICHOLS M,WALKER G,,,,,
74,CZE,Czech Republic,BOHAC R,CERNOVSKY M,JURIK M,KLIMA L,KLIPA L,,,,,
74,GER,Germany,GREINDL D,HARSCH K,MUSKATEWITZ M,SUTOR M,TOTZEK S,,,,,
74,ITA,Italy,ARMAN S,GIOVANELLA M,MOSANER A,RETORNAZ J,,,,,,
74,JPN,Japan,KOIZUMI S,YAMAGUCHI T,YAMAMOTO T,YANAGISAWA R,,,,,,
74,KOR,Korea,JEONG B,KIM M,KIM T,LEE J,,,,,,
74,NOR,Norway,NEPSTAD G,RAMSFJELL B,RAMSFJELL M,SESAKER M,,,,,,
74,NZL,New Zealand,DE BOER P,HOOD A,SARGON B,SMITH B,WALKER H,,,,,
74,SCO,Scotland,HARDIE G,LAMMIE B,MOUAT B,McMILLAN H,WADDELL K,,,,,
